symbol,name,currency,exchange,type
CAND.H,Candelaria Mining Corp.,CAD,TSXV,Common Stock
CANS,Wildpack Beverage Inc.,CAD,TSXV,Common Stock
CANX,Canex Metals Inc.,CAD,TSXV,Common Stock
CAPL.PR.,Caplink Ventures Inc.,CAD,TSXV,Common Stock
CAPT,Capitan Silver Corp.,CAD,TSXV,Common Stock
CASA,Casa Minerals Inc.,CAD,TSXV,Common Stock
CAU.H,China Goldcorp Ltd.,CAD,TSXV,Common Stock
CBA,Champion Bear Resources Ltd.,CAD,TSXV,Common Stock
CBAR.PR.,Castlebar Capital Corp.,CAD,TSXV,Common Stock
CBG,Chibougamau Independent Mines Inc.,CAD,TSXV,Common Stock
CBI,Colibri Resource Corporation,CAD,TSXV,Common Stock
CBIT,Cathedra Bitcoin Inc.,CAD,TSXV,Common Stock
CBLT,Cobalt Blockchain Inc.,CAD,TSXV,Common Stock
CBLU,Clear Blue Technologies International Inc.,CAD,TSXV,Common Stock
CBR,Cabral Gold Inc.,CAD,TSXV,Common Stock
CBV,Cobra Venture Corporation,CAD,TSXV,Common Stock
CCB,Canada Carbon Inc.,CAD,TSXV,Common Stock
CCCM,C3 Metals Inc.,CAD,TSXV,Common Stock
CCD,Cascadero Copper Corp.,CAD,TSXV,Common Stock
CCDS,Carrier Connect Data Solutions Inc.,CAD,TSXV,Common Stock
CCEC,CanCambria Energy Corp.,CAD,TSXV,Common Stock
CCIC.PR.,CHICANE CAPITAL I CORP,CAD,TSXV,Common Stock
CCMC,Core Critical Metals Corp,CAD,TSXV,Common Stock
CCMI,Canadian Critical Minerals Inc.,CAD,TSXV,Common Stock
CCZ.PR.,CHABLIS CAPITAL CORP,CAD,TSXV,Common Stock
CD,Cantex Mine Development Corp,CAD,TSXV,Common Stock
CDA,Canuc Resources Corp.,CAD,TSXV,Common Stock
CDB,Cordoba Minerals Corp.,CAD,TSXV,Common Stock
CDPR,Cerro De Pasco Resources Inc.,CAD,TSXV,Common Stock
CEC,Canasia Energy Corp.,CAD,TSXV,Common Stock
CEI,Coelacanth Energy Inc.,CAD,TSXV,Common Stock
CEL.H,Columbus Energy Limited,CAD,TSXV,Common Stock
CELL,Grid Battery Metals Inc.,CAD,TSXV,Common Stock
CEN.H,Claren Energy Corp.,CAD,TSXV,Common Stock
CEO.H,Clydesdale Resources Inc.,CAD,TSXV,Common Stock
CEQ,Criterium Energy Ltd.,CAD,TSXV,Common Stock
CERT,Cerrado Gold Inc.,CAD,TSXV,Common Stock
CES.PR.,CELESTIAL ACQUISITION CORP,CAD,TSXV,Common Stock
CFA.H,Clear Gold Resources Inc.,CAD,TSXV,Common Stock
CFY,CF Energy Corp,CAD,TSXV,Common Stock
CGC,Canadian Gold Corp,CAD,TSXV,Common Stock
CGD,Carlin Gold Corporation,CAD,TSXV,Common Stock
CGNT,Copper Giant Resources Corp.,CAD,TSXV,Common Stock
CH,Charbone Hydrogen Corp,CAD,TSXV,Common Stock
CHER,Cheelcare Inc.,CAD,TSXV,Common Stock
CHII.PR.,CHICANE CAPITAL II CORP,CAD,TSXV,Common Stock
CHIP.H,Health Logic Interactive Inc.,CAD,TSXV,Common Stock
CHS,"Comprehensive Healthcare Systems, Inc.",CAD,TSXV,Common Stock
CHY.H,Cypress Hills Resource Corp.,CAD,TSXV,Common Stock
CIO,Central Iron Ore Ltd.,CAD,TSXV,Common Stock
CKG,Chesapeake Gold Corp.,CAD,TSXV,Common Stock
CLCO,Culico Metals Inc.,CAD,TSXV,Common Stock
